æмæ	16907
йæ	15792
дæр	9945
нæ	9749
и	9029
уый	6515
мæ	6279
сæ	5693
не	5537
куы	5437
та	5255
у	5241
в	5234
уæд	5206
дæ	4951
ма	4141
кодта	4015
цы	3991
на	3317
уыд	3249
фæлæ	3083
иу	2973
кæй	2855
Æмæ	2748
афтæ	2748
он	2540
что	2512
чи	2479
уыцы	2472
куыд	2462
нал	2342
ис	2298
Йæ	2267
æй	2265
с	2226
Фæлæ	2052
дзы	1984
ахæм	1982
йын	1917
Уый	1897
азы	1861
я	1854
лæг	1826
И	1825
сты	1766
Нæ	1748
его	1732
как	1656
the	1654
бон	1649
кодтой	1625
Мæ	1622
æз	1602
уыди	1514
дын	1503
мын	1487
кæны	1449
тыххæй	1439
загъта	1367
к	1365
Æз	1339
and	1299
ын	1275
йæхи	1194
кæнын	1193
йæм	1145
уыдон	1142
зæронд	1139
уæддæр	1126
зæгъгæ	1112
Дæ	1111
стæй	1097
хъæуы	1095
сын	1088
ницы	1086
кæд	1080
йе	1079
за	1068
зæрдæ	1067
а	1051
хорз	1016
ныр	1011
Уæд	1011
нæй	1001
бирæ	962
адæм	956
кæм	952
дæн	938
Но	921
дыууæ	912
Цы	896
фæстæ	888
цыма	888
же	886
ее	874
Ныр	873
все	872
Я	868
из	861
нæу	838
фæстæмæ	837
æндæр	836
по	836
цæмæй	834
уа	831
уыдысты	831
уымæн	830
Он	814
афтæмæй	813
А	808
бы	806
сæр	790
было	785
это	778
от	774
В	771
но	771
цард	757
о	753
of	751
a	750
æм	749
мæм	743
так	742
стыр	740
ды	739
она	738
уым	727
Иу	712
Куы	712
ацы	711
был	710
их	709
in	707
ныхас	706
уыдис	695
Уыцы	686
хъуамæ	686
to	684
мне	675
меня	673
хатт	665
ирон	664
Кæд	663
дам	658
Сæ	649
тынг	648
æрмæст	640
Не	640
уæ	638
ты	636
уымæй	636
раст	633
ему	625
Хигинс	623
адæмы	619
Заза	612
О	603
раз	601
хъуыддаг	600
кæнынц	597
они	583
хуызæн	577
хъуыды	573
вæййы	572
размæ	571
сæм	566
зоны	562
сказал	562
то	561
уыдзæн	559
сау	555
кæн	545
йыл	540
нын	536
фыццаг	529
хуыздæр	527
